date,v_intra,vwap_intra,v_after,vwap_after
2026-03-17,167615.0,1728.4268412731558,4491.0,1735.0
2026-03-18,271297.0,1736.4448740679034,4078.0,1740.0
2026-03-19,,,7438.0,1690.0
2026-03-20,227109.0,1692.4240783060116,5444.0,1700.0
2026-03-23,853239.0,1630.5620933876676,5639.0,1635.0
2026-03-24,316620.0,1625.097593329543,5085.0,1625.0
2026-03-25,294587.0,1640.058641420022,5950.0,1630.0
2026-03-26,,,11916.0,1600.0
2026-03-27,609770.0,1559.9261770831624,3766.0,1600.0
2026-03-30,918034.0,1520.9469148201483,10491.0,1520.0
2026-03-31,456185.0,1510.955906046889,8910.0,1500.0
2026-04-01,913246.0,1494.0688872439628,10280.0,1480.0
2026-04-02,,,7522.0,1475.0
2026-04-07,509944.0,1449.891811649907,7617.0,1475.0
2026-04-08,633974.0,1546.389331423686,15420.0,1580.0
2026-04-09,303302.0,1572.0305998641618,6675.0,1580.0
2026-04-10,356845.0,1580.5708360772885,10936.0,1580.0
2026-04-13,432071.0,1637.3695989779458,8674.0,1630.0
2026-04-14,982885.0,1700.092228490617,11857.0,1720.0
2026-04-15,1732029.0,1814.6502512371328,11384.0,1790.0
2026-04-16,1369438.0,1877.752128975536,19496.0,1890.0
2026-04-17,1207769.0,1922.584310410352,8213.0,1915.0
2026-04-20,628202.0,1920.4398664760697,9820.0,1905.0
2026-04-21,2105434.0,2042.892569892953,23421.0,2090.0
2026-04-22,1271459.0,2244.182824613298,19579.0,2295.0
2026-04-23,1485646.0,2250.160441989545,16336.0,2215.0
2026-04-24,1269065.0,2413.50680619196,10950.0,2425.0
2026-04-27,1076514.0,2475.9361698965363,14383.0,2440.0
2026-04-28,1178918.0,2627.502421712112,15298.0,2615.0
2026-04-29,666152.0,2548.815788288559,8568.0,2575.0
2026-04-30,590771.0,2616.005186442801,13387.0,2610.0
2026-05-04,336116.0,2870.0,7749.0,2870.0
2026-05-05,303556.0,3155.0,7330.0,3155.0
2026-05-06,2123483.0,3396.296728064223,18977.0,3435.0
2026-05-07,845633.0,3346.2764225142587,12708.0,3425.0
2026-05-08,792873.0,3590.2570903536885,15780.0,3640.0
2026-05-11,718064.0,3816.399819514695,13859.0,3930.0
